NUMBER,X_IMAGE,Y_IMAGE,X_WORLD,Y_WORLD,FLUX_APER,FLUXERR_APER,MAG_APER,MAGERR_APER,THRESHOLD,FLUX_RADIUS,FLAGS,NITER_MODEL
2577,4190.9893,4572.0063,214.55799757,52.531592699,2.793131,0.2678872,-1.1152,0.1042,0.1480887,2.22,0,38
2578,2850.6099,4437.7173,214.44993619,52.585338758,3.692462,0.2695106,-1.4183,0.0793,0.1480887,3.262,0,29
2579,4830.6719,4492.3784,214.59893842,52.499506817,9.587892,0.2799196,-2.4543,0.0317,0.1480887,4.913,0,53
2580,4567.2871,4502.0264,214.58039229,52.511688677,2.96178,0.2679306,-1.1789,0.0982,0.1480887,2.542,0,64
2581,1573.9167,4470.6045,214.35854754,52.643626868,7.60394,0.2767142,-2.2026,0.0395,0.1480887,5.347,0,40
2582,2210.0835,4576.6069,214.41308875,52.62005755,5.783665,0.2732482,-1.9055,0.0513,0.1480887,1.698,0,115
2583,4333.4189,4506.0386,214.56358203,52.522299933,5.397759,0.2725624,-1.8305,0.0548,0.1480887,4.413,0,49
2584,2325.1934,3998.2732,214.37916654,52.589100052,20.38831,0.2980474,-3.2735,0.0159,0.1480887,1.828,0,30
2585,4047.0007,4488.1709,214.54131339,52.534276686,5.312148,0.2721522,-1.8132,0.0556,0.1480887,2.993,0,37
2586,3254.2939,4823.9907,214.50786913,52.584589924,2.595546,0.267004,-1.0356,0.1117,0.1480887,1.852,0,37
2587,1873.9103,4413.7437,214.37644222,52.62774144,12.38494,0.2829944,-2.7322,0.0248,0.1480887,4.304,0,42
2588,4476.688,4837.833,214.59839294,52.530692065,4.037527,0.269871,-1.5153,0.0726,0.1480887,1.945,0,56
2589,1662.4885,4466.2524,214.36474382,52.639492835,3.728862,0.2677476,-1.4289,0.078,0.1480887,1.938,0,41
2590,2101.7615,4445.6367,214.39552791,52.619028437,14.29861,0.2879666,-2.8882,0.0219,0.1480887,2.726,0,30
2591,2671.5735,4822.5386,214.46501511,52.610488659,22.87072,0.3022924,-3.3982,0.0144,0.1480887,1.862,0,33
2592,1555.6678,4420.2251,214.35351221,52.64218672,3.349037,0.2691527,-1.3123,0.0873,0.1480887,3.945,0,66
2593,643.1519,4480.9121,214.29076581,52.685465456,3.130335,0.2669242,-1.239,0.0926,0.1480887,2.506,0,41
2594,1992.4868,4512.3125,214.39238445,52.626869597,8.205967,0.2765014,-2.2853,0.0366,0.1480887,3.797,0,29
2595,373.2021,4518.3779,214.27361022,52.699135384,6.404563,0.2746038,-2.0162,0.0466,0.1480887,2.482,0,26
2596,2460.7051,4754.3818,214.44453424,52.616837731,22.19206,0.3005018,-3.3655,0.0147,0.1480887,1.787,0,37
2597,301.8126,4812.0947,214.28988402,52.715448547,4.354711,0.2701808,-1.5974,0.0674,0.1480887,6.896,3,61
2598,1015.8612,4399.1045,214.31222961,52.665242592,3671.578,1.905237,-8.9121,0.0006,0.1480887,1.953,0,21
2599,3721.1023,4828.8647,214.54243448,52.563997144,334.5119,0.6266693,-6.311,0.002,0.1480887,1.913,0,29
2600,4033.0771,4453.3418,214.53774111,52.533344725,6.225808,0.2724911,-1.9855,0.0475,0.1480887,3.678,0,56
2601,4016.562,4652.8267,214.55115766,52.542974225,4.003181,0.2700692,-1.506,0.0733,0.1480887,3.184,0,27
2602,4778.2925,4509.0293,214.59633096,52.502585936,2.83539,0.2671768,-1.1315,0.1023,0.1480887,1.966,0,48
2603,3330.4819,4277.9819,214.47342319,52.556835857,2.543288,0.2674344,-1.0135,0.1142,0.1480887,1.806,0,37
2604,1126.1501,4645.8716,214.33844223,52.671373805,2.95525,0.2679187,-1.1765,0.0985,0.1480887,2.651,0,67
2605,1064.6942,4300.1606,214.30857482,52.65864693,3.14819,0.2677441,-1.2452,0.0924,0.1480887,2.116,0,48
2606,1392.0391,4018.9729,214.31207407,52.63152155,16.49235,0.2916382,-3.0432,0.0192,0.1480887,2.964,0,44
2607,2533.2046,4494.0142,214.43076576,52.601985289,2.519786,0.2673918,-1.0034,0.1152,0.1480887,2.212,0,73
2608,302.4638,4053.2019,214.23430739,52.681456164,5.621056,0.2734731,-1.8745,0.0528,0.1480887,2.632,0,26
2609,2237.179,4492.3081,214.40889917,52.615086569,5.153187,0.2716105,-1.7802,0.0572,0.1480887,2.774,0,51
2610,4800.9697,4432.0469,214.59234529,52.498144545,4.01474,0.2703497,-1.5091,0.0731,0.1480887,1.935,0,45
2611,1385.0731,4537.937,214.34958851,52.65503507,10.92966,0.2812387,-2.5965,0.0279,0.1480887,4.452,0,43
2612,1363.1235,4738.9629,214.36271407,52.664996337,9925.546,3.114053,-9.9919,0.0003,0.1480887,1.993,0,46
2613,3655.1782,4549.458,214.51711477,52.554477694,101.9784,0.410026,-5.0213,0.0044,0.1480887,1.866,0,56
2614,821.7219,4777.3135,214.3256592,52.690785591,6.795289,0.2745273,-2.0805,0.0439,0.1480887,2.447,0,31
2615,3674.0527,4141.9375,214.48863205,52.535458737,16.10076,0.2909862,-3.0171,0.0196,0.1480887,2.319,0,30
2616,1072.5178,4480.521,214.32236981,52.666365096,11.38329,0.2827654,-2.6407,0.027,0.1480887,5.224,0,45
2617,2900.6123,4830.9062,214.48243692,52.600658869,6.612141,0.2742035,-2.0509,0.045,0.1480887,2.495,0,41
2618,625.3574,4318.4966,214.27755043,52.678989543,2.552078,0.2663987,-1.0172,0.1134,0.1480887,2.48,0,45
2619,1991.4143,4101.9214,214.36223231,52.608579726,7.599968,0.2764535,-2.202,0.0395,0.1480887,2.643,0,39
2620,3160.0967,4858.1899,214.50347122,52.590313489,2.83639,0.2671787,-1.1319,0.1023,0.1480887,1.934,0,49
2621,388.3788,4127.127,214.24605825,52.680950707,6.934511,0.2752835,-2.1025,0.0431,0.1480887,2.587,0,46
2622,2979.5325,4463.0649,214.4612527,52.580728349,8.425633,0.2768864,-2.314,0.0357,0.1480887,3.791,0,38
2623,3060.9512,4508.7847,214.47057631,52.579142137,3.18773,0.2686007,-1.2587,0.0915,0.1480887,2.512,0,57
2624,308.5492,4818.5747,214.29085621,52.715439092,14.68526,0.2888601,-2.9172,0.0214,0.1480887,3.399,2,48
2625,2809.9246,4085.8489,214.42116829,52.571440248,3.577637,0.268521,-1.384,0.0815,0.1480887,2.994,0,39
2626,3505.2222,4820.5269,214.52600714,52.57325044,3.24918,0.2687116,-1.2794,0.0898,0.1480887,3.506,0,23
2627,2314.9978,4471.9995,214.41312709,52.610715877,3.14535,0.267739,-1.2442,0.0924,0.1480887,3.023,0,49
2628,1102.9663,4786.6562,214.34706027,52.678698399,4.157389,0.2706055,-1.5471,0.0707,0.1480887,2.659,0,35
2629,1815.2036,4481.7715,214.3771123,52.633392912,6.736169,0.2746784,-2.071,0.0443,0.1480887,2.34,0,38
2630,914.3582,4508.4434,214.31276784,52.674644156,10.70643,0.2813527,-2.5741,0.0285,0.1480887,3.179,0,35
