Tile_id,Name,FilterName,Alpha_J2000,Delta_J2000,FWHM,Depth2FWHM5s,Depth3arc5s,Deptharcsec2,Zero_Point,Zero_Point_Error,Zero_Point_Procedure,TExposed,Efectime,NCombined,Datasum,Observation_Dates,Flag,Flag_Date
30734,1000001-JPLUS-00526-v2_gSDSS_swp,gSDSS,258.3111,26.2657,1.12440002,22.4820805,22.1691551,23.2308216,23.5623436,0.0205154996,5,156,151.369995,12,3894195063,2016-07-09 22:51:52 2016-07-09 22:52:33 2016-07-09 22:53:13 2016-07-24 00:25:16 2016-07-24 00:26:00 2016-07-24 00:26:42 2016-08-01 21:15:08 2016-08-01 21:15:53 2016-08-01 21:16:35 2016-08-12 20:44:16 2016-08-12 20:45:00 2016-08-12 20:45:42,None,None
28642,1000001-JPLUS-00526-v2_J0515_swp,J0515,258.3111,26.2657,0.968510985,21.136467,20.6615009,21.7231655,21.5062885,0.0227742009,5,77.4000015,76.8700027,3,3471484489,2016-07-09 22:21:21 2016-07-09 22:22:18 2016-07-09 22:30:07,None,None
26013,1000001-JPLUS-00526-v2_rSDSS_swp,rSDSS,258.3111,26.2657,1.10198998,22.5594444,22.2246609,23.2863255,23.5510368,0.0117113004,5,240,235.960007,12,291468016,2016-07-09 22:34:10 2016-07-09 22:34:58 2016-07-09 22:39:41 2016-07-24 00:22:41 2016-07-24 00:23:32 2016-07-24 00:24:23 2016-08-01 21:12:37 2016-08-01 21:13:27 2016-08-01 21:14:15 2016-08-12 20:41:40 2016-08-12 20:42:30 2016-08-12 20:43:21,None,None
30218,1000001-JPLUS-00526-v2_J0660_swp,J0660,258.3111,26.2657,1.02987003,21.2885876,20.8803158,21.9419804,21.0031147,0.0100923004,5,168.899994,168.710007,3,1081485091,2016-07-09 22:47:28 2016-07-09 22:48:54 2016-07-09 22:50:18,None,None
26573,1000001-JPLUS-00526-v2_iSDSS_swp,iSDSS,258.3111,26.2657,0.954509974,21.2300014,20.7392235,21.80089,23.1790009,0.0102720996,5,30.8999996,30.8700008,3,1360753235,2016-07-09 22:02:30 2016-07-09 22:03:08 2016-07-09 22:03:47,None,None
28119,1000001-JPLUS-00526-v2_J0861_swp,J0861,258.3111,26.2657,0.96006602,21.6607246,21.1762486,22.237915,21.4997063,0.00377621991,5,508.799988,508.130005,3,337097923,2016-07-09 22:11:17 2016-07-09 22:14:35 2016-07-09 22:17:53,None,None
31779,1000001-JPLUS-00526-v2_zSDSS_swp,zSDSS,258.3111,26.2657,1.07595003,21.7527466,21.3919983,22.4536629,22.5298729,0.00366949989,5,393.899994,392.899994,3,1034308550,2016-07-09 23:01:14 2016-07-09 23:03:56 2016-07-09 23:13:02,None,None
27065,1000001-JPLUS-00316-v2_uJAVA_swp,uJAVA,256.5089,23.4809,1.36327004,21.596817,21.4930439,22.5547085,21.0962238,0.0428792015,5,621,620.5,3,3971366581,2016-06-23 22:45:00 2016-06-23 22:48:57 2016-06-23 22:52:54,None,None
29688,1000001-JPLUS-00316-v2_J0378_swp,J0378,256.5089,23.4809,1.36491001,21.1631031,21.0606346,22.1223011,20.4446907,0.0417217985,5,660,659.599976,3,1213631274,2016-06-23 23:14:57 2016-06-23 23:19:05 2016-06-23 23:23:15,None,None
31254,1000001-JPLUS-00316-v2_J0395_swp,J0395,256.5089,23.4809,1.28305995,20.6183243,20.4487133,21.5103798,20.3623657,0.0369460993,5,294,293.75,3,908002541,2016-06-23 23:45:01 2016-06-23 23:47:07 2016-06-23 23:49:16,None,None
29164,1000001-JPLUS-00316-v2_J0410_swp,J0410,256.5089,23.4809,1.36430001,20.4023838,20.2994289,21.3610954,21.3221016,0.0307356007,5,117,116.440002,3,2661889154,2016-06-23 23:08:39 2016-06-23 23:09:46 2016-06-23 23:10:53,None,None
27591,1000001-JPLUS-00316-v2_J0430_swp,J0430,256.5089,23.4809,1.29136002,20.5491829,20.3865738,21.4482384,21.42033,0.0289408006,5,111,110.849998,3,132783345,2016-06-23 22:56:54 2016-06-23 22:58:02 2016-06-23 22:59:06,None,None
30729,1000001-JPLUS-00316-v2_gSDSS_swp,gSDSS,256.5089,23.4809,1.15634,21.1276035,20.845089,21.9067554,23.5972137,0.0288638007,5,39,38.9599991,3,1212450948,2016-06-23 23:42:44 2016-06-23 23:43:25 2016-06-23 23:44:06,None,None
