,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
8434,220.158304,40.178721,220.15830400000002,40.178721,1,+,6,J144037.99+401043.3,,2003.226,3,22.168000000000003,0.204,21.048000000000002,0.037000000000000005,20.743000000000002,0.038,20.605999999999998,0.053,20.543000000000003,0.151,,,,
8437,220.15495,40.172901,220.15495,40.172901,1,+,6,J144037.18+401022.4,*,2003.226,3,23.303,0.505,21.289,0.044000000000000004,20.111,0.023,19.42,0.021,19.025,0.042,,,,
8441,220.150526,40.168299,220.15052599999999,40.168299,1,+,6,J144036.12+401005.8,*,2003.226,3,25.758000000000003,0.578,23.006999999999998,0.191,22.18,0.133,22.006,0.187,21.614,0.376,,,,
8442,220.150552,40.169496,220.150552,40.169496,1,+,6,J144036.13+401010.1,,2003.226,3,25.38,0.755,24.221,0.49700000000000005,22.91,0.255,22.375,0.266,21.711,0.418,,,,
8449,220.138102,40.179628,220.138102,40.179628,1,,6,J144033.14+401046.6,,2003.226,3,24.133000000000003,0.8140000000000001,24.572,0.551,24.154,0.579,22.17,0.204,21.416999999999998,0.305,,,,
8451,220.151906,40.183632,220.151906,40.183632,1,,6,J144036.45+401101.0,,2003.226,3,24.975,0.9329999999999999,23.971,0.439,23.429000000000002,0.41,20.767,0.068,19.195999999999998,0.054000000000000006,,,,
8455,220.175355,40.198787,220.17535499999997,40.198787,1,+,6,J144042.08+401155.6,*,2003.2317,3,21.393,0.10300000000000001,19.752,0.013000000000000001,18.99,0.01,18.666,0.011000000000000001,18.357,0.023,,,,
8456,220.161605,40.218067,220.16160499999998,40.218067,1,+,6,J144038.78+401305.0,*,2003.2317,3,25.555999999999997,0.624,21.588,0.046,20.094,0.02,18.824,0.012,18.125999999999998,0.02,,,,
8457,220.147117,40.206737,220.14711699999998,40.206737,1,,6,J144035.30+401224.2,,2003.2317,3,22.328000000000003,0.239,24.636999999999997,0.467,24.701999999999998,0.556,24.899,0.5329999999999999,22.309,0.47700000000000004,,,,
8459,220.168104,40.187944,220.168104,40.187944,1,+,6,J144040.34+401116.5,,2003.2317,3,21.846999999999998,0.147,20.863000000000003,0.027000000000000003,20.568,0.027999999999999997,20.438,0.037000000000000005,20.444000000000003,0.11599999999999999,,,,
8462,220.162253,40.204109,220.162253,40.204109,1,+,6,J144038.94+401214.7,,2003.2317,3,22.656,0.289,23.092,0.154,21.656999999999996,0.064,20.697,0.045,20.163,0.091,,,,
8465,220.169059,40.203988,220.16905899999998,40.203988,1,,6,J144040.57+401214.3,,2003.2317,3,23.195999999999998,0.467,22.395,0.08800000000000001,22.105,0.095,22.174,0.159,22.105999999999998,0.425,,,,
8466,220.172371,40.196624,220.172371,40.196624,1,,6,J144041.36+401147.8,,2003.2317,3,25.455,0.626,23.351,0.18899999999999997,24.166,0.439,25.337,0.38799999999999996,22.375,0.446,,,,
8469,220.154631,40.19813,220.154631,40.19813,1,+,6,J144037.11+401153.2,,2003.2317,3,25.197,0.987,23.719,0.342,22.616,0.19899999999999998,22.296999999999997,0.237,21.756,0.465,,,,
8471,220.171756,40.220216,220.17175600000002,40.220216,1,,6,J144041.22+401312.7,,2003.2317,3,23.237,0.493,24.418000000000003,0.425,24.193,0.48100000000000004,22.366,0.195,22.201999999999998,0.45399999999999996,,,,
8472,220.151446,40.197193,220.151446,40.197193,1,,6,J144036.34+401149.8,,2003.2317,3,25.072,0.784,25.011,0.474,25.721999999999998,0.365,24.559,0.55,21.19,0.213,,,,
8473,220.166222,40.206996,220.16622200000003,40.206996000000004,1,,6,J144039.89+401225.1,,2003.2317,3,23.641,0.615,26.148000000000003,0.311,24.154,0.439,23.705,0.479,21.232,0.222,,,,
8474,220.196596,40.19856,220.196596,40.19856,1,,6,J144047.18+401154.8,*,2003.2317,3,15.607999999999999,0.005,14.357000000000001,0.004,14.263,0.012,14.161,0.003,13.753,0.005,,,,
8475,220.207707,40.217922,220.20770699999997,40.217921999999994,1,+,6,J144049.84+401304.5,*,2003.2317,3,21.962,0.165,19.56,0.012,18.37,0.008,17.873,0.006999999999999999,17.581,0.013999999999999999,,,,
8477,220.204744,40.208341,220.204744,40.208341,1,+,6,J144049.13+401230.0,*,2003.2317,3,21.104,0.085,20.175,0.017,19.883,0.017,19.761,0.022000000000000002,19.732,0.066,,,,
8479,220.200277,40.207422,220.200277,40.207421999999994,1,+,6,J144048.06+401226.7,*,2003.2317,3,25.033,0.7909999999999999,21.982,0.062,20.59,0.027999999999999997,19.666,0.021,19.23,0.044000000000000004,,,,
8481,220.207746,40.20905,220.207746,40.20905,1,+,6,J144049.85+401232.5,*,2003.2317,3,24.166999999999998,0.794,22.448,0.091,21.73,0.069,21.518,0.09,21.158,0.21100000000000002,,,,
8482,220.200022,40.190812,220.20002200000002,40.190812,1,+,6,J144048.00+401126.9,*,2003.2317,3,23.552,0.5670000000000001,22.461,0.091,20.866,0.034,19.692,0.021,19.053,0.038,,,,
8483,220.215987,40.214962,220.215987,40.214962,1,,6,J144051.83+401253.8,,2003.2317,3,23.653000000000002,0.616,23.419,0.201,23.175,0.226,23.186999999999998,0.353,22.721,0.491,,,,
8484,220.189449,40.205117,220.18944900000002,40.205117,1,+,6,J144045.46+401218.4,,2003.2317,3,25.563000000000002,0.614,24.076,0.327,22.48,0.128,21.464000000000002,0.085,21.932,0.365,,,,
8485,220.214519,40.221779,220.214519,40.221779,1,+,6,J144051.48+401318.4,*,2003.2317,3,23.83,0.684,23.944000000000003,0.295,22.962,0.191,23.249000000000002,0.368,22.398000000000003,0.46,,,,
8486,220.21913,40.199491,220.21912999999998,40.199490999999995,1,+,6,J144052.59+401158.1,*,2003.2317,3,18.944000000000003,0.02,17.262,0.005,16.652,0.005,16.439,0.005,16.328,0.008,,,,
8487,220.214402,40.190343,220.214402,40.190343,1,+,6,J144051.45+401125.2,*,2003.2317,3,19.396,0.026000000000000002,18.45,0.006999999999999999,18.180999999999997,0.006999999999999999,18.094,0.008,18.06,0.019,0.00023999999999999998,,,
8488,220.219993,40.191874,220.21999300000002,40.191874,1,,6,J144052.79+401130.7,,2003.2317,3,22.289,0.237,26.16,0.353,25.205,0.5589999999999999,24.779,0.617,22.768,0.578,,,,
8490,220.220868,40.210536,220.22086800000002,40.210536,1,+,6,J144053.00+401237.9,*,2003.2317,3,23.275,0.46,24.285,0.366,22.974,0.192,21.64,0.1,21.099,0.20199999999999999,,,,
8492,220.213857,40.229151,220.213857,40.229151,1,+,6,J144051.32+401344.9,*,2003.2317,3,21.906999999999996,0.163,20.91,0.027999999999999997,20.482,0.026000000000000002,20.41,0.037000000000000005,20.279,0.105,,,,
8494,220.218463,40.230728,220.21846299999999,40.230728000000006,1,+,6,J144052.43+401350.6,*,2003.2317,3,25.006999999999998,0.8340000000000001,22.686,0.11199999999999999,21.308000000000003,0.049,20.267,0.033,19.666,0.064,,,,
8495,220.22155,40.229744,220.22155,40.229744000000004,1,+,6,J144053.17+401347.0,*,2003.2317,3,24.52,0.861,22.26,0.077,21.734,0.068,21.362,0.078,20.875,0.168,,,,
8497,220.231722,40.251357,220.23172200000002,40.251357,1,+,6,J144055.61+401504.8,,2003.2317,3,22.802,0.344,23.89,0.301,22.759,0.172,22.662,0.25,21.429000000000002,0.28,,,,
8499,220.232532,40.24395,220.232532,40.24395,1,+,6,J144055.80+401438.2,*,2003.2317,3,24.995,0.997,24.434,0.494,22.504,0.162,21.988000000000003,0.166,21.581999999999997,0.371,,,,
8504,220.239516,40.234457,220.239516,40.234457,1,,6,J144057.48+401404.0,,2003.2317,3,24.063000000000002,0.759,25.456,0.445,24.123,0.431,24.254,0.575,20.799,0.16,,,,
